state	county	total_loss	closed_loss	open_loss	cwop_loss	total_pay
ALABAMA	LAMAR COUNTY	13	11	0	2	74652.23
ALABAMA	LAUDERDALE COUNTY	118	91	1	26	971473.36
ALABAMA	LAWRENCE COUNTY	27	26	0	1	356146.67
ALABAMA	LEE COUNTY	52	41	0	11	159121.69
ALABAMA	LIMESTONE COUNTY	62	47	0	15	347174.67
ALABAMA	LOWNDES COUNTY	9	7	0	2	180670.8
ALABAMA	MACON COUNTY	1	1	0	0	10829.86
ALABAMA	MADISON COUNTY	567	452	1	114	7114285.66
ALABAMA	MARENGO COUNTY	21	13	0	8	32674.75
ALABAMA	MARION COUNTY	18	14	0	4	190289.32
ALABAMA	MARSHALL COUNTY	15	14	0	1	419122.91
ALABAMA	MOBILE COUNTY	14213	11444	6	2763	350760209.37
ALABAMA	MONROE COUNTY	31	27	0	4	117339.39
ALABAMA	MONTGOMERY COUNTY	34	25	0	9	547129.8
ALABAMA	MORGAN COUNTY	137	106	6	25	1764910.46
ALABAMA	PICKENS COUNTY	83	71	0	12	506268.81
ALABAMA	RUSSELL COUNTY	7	3	0	4	21228.26
ALABAMA	SHELBY COUNTY	507	467	0	40	6343992.13
ALABAMA	ST. CLAIR COUNTY	64	42	0	22	464728.5
ALABAMA	SUMTER COUNTY	11	8	0	3	111220.46
ALABAMA	TALLADEGA COUNTY	71	43	0	28	951613.59
ALABAMA	TALLAPOOSA COUNTY	4	2	0	2	26306.14
ALABAMA	TUSCALOOSA COUNTY	157	98	1	58	1081594.99
ALABAMA	WALKER COUNTY	30	24	0	6	291702.63
ALABAMA	WASHINGTON COUNTY	15	14	0	1	103893.19
ALABAMA	WILCOX COUNTY	16	7	0	9	53420.36
ALABAMA	WINSTON COUNTY	2	0	0	2	0
ALASKA	ANCHORAGE BOROUGH	55	20	1	34	300483.76
ALASKA	ANIAK	3	2	0	1	23411.25
ALASKA	BETHEL CENSUS AREA	45	33	0	12	316817.67
ALASKA	FAIRBANKS NORTH STAR BOROUGH	207	145	0	62	1683630.76
ALASKA	JUNEAU BOROUGH	25	15	0	10	163615.62
ALASKA	KENAI-COOK BOROUGH	73	51	0	22	569583.04
ALASKA	KETCHIKAN GATEWAY BOROUGH	2	0	0	2	0
ALASKA	KOTZEBUE BOROUGH	2	1	0	1	3625.62
ALASKA	MATANUSKA-SUSITNA BOROUGH	77	54	2	21	1553356.2
ALASKA	NOME CENSUS AREA	15	14	0	1	624693.9
ALASKA	SITKA BOROUGH	5	1	0	4	20130.27
ALASKA	VALDEZ-CORDOVA CENSUS AREA	9	6	0	3	132559.35
ALASKA	WRANGELL-PETERSBURG CA	1	0	0	1	0
ALASKA	YUKON-KOYUKUK CENSUS AREA	67	53	4	10	2925835.78
ARIZONA	APACHE COUNTY	6	4	0	2	5743.11
ARIZONA	COCHISE COUNTY	80	37	3	40	305399.81
ARIZONA	COCONINO COUNTY	208	147	2	59	3153049.16
ARIZONA	GILA COUNTY	128	105	1	22	2231390.83
ARIZONA	GRAHAM COUNTY	31	27	0	4	166639.46
ARIZONA	GREENLEE COUNTY	152	140	0	12	2412584.94
ARIZONA	LA PAZ COUNTY	77	45	0	32	816691.84
ARIZONA	MARICOPA	6	0	4	2	0
ARIZONA	MARICOPA COUNTY	2025	1387	11	627	11534166.84
ARIZONA	MOHAVE COUNTY	143	82	2	59	1029621.14
ARIZONA	NAVAJO COUNTY	103	80	1	22	966493.03
ARIZONA	PIMA COUNTY	455	275	0	180	6033491.28
ARIZONA	PINAL COUNTY	94	66	0	28	1592667.39
ARIZONA	SANTA CRUZ COUNTY	162	121	1	40	1327790.3
ARIZONA	YAVAPAI COUNTY	339	249	1	89	3257761.44
ARIZONA	YUMA COUNTY	153	98	0	55	1151314.29
ARKANSAS	CALHOUN COUNTY	7	5	0	2	120430.36
ARKANSAS	DALLAS COUNTY	1	1	0	0	7083.83
ARKANSAS	GREENE COUNTY	199	139	0	60	711920.06
ARKANSAS	JACKSON COUNTY	132	119	1	12	1920918.42
ARKANSAS	JEFFERSON COUNTY	375	321	0	54	4140689.3
ARKANSAS	LAWRENCE COUNTY	42	37	0	5	515389.11
ARKANSAS	LEE COUNTY	28	25	0	3	268485.94
ARKANSAS	MADISON COUNTY	6	4	0	2	104955.28
ARKANSAS	MARION COUNTY	3	2	0	1	104325.32
ARKANSAS	MONROE COUNTY	155	136	3	16	4127684.35
ARKANSAS	MONTGOMERY COUNTY	80	72	0	8	1977551.65
ARKANSAS	WASHINGTON COUNTY	200	146	13	41	4058906.97
ARKANSAS	ARKANSAS COUNTY	54	41	0	13	866120.76
ARKANSAS	ASHLEY COUNTY	41	34	0	7	400347.07
ARKANSAS	BAXTER COUNTY	102	74	0	28	2558885.07
ARKANSAS	BENTON COUNTY	175	114	11	50	2352543.77
ARKANSAS	BOONE COUNTY	28	13	0	15	175043.28
ARKANSAS	BRADLEY COUNTY	54	47	0	7	724460.35
ARKANSAS	CHICOT COUNTY	123	109	3	11	3188237.75
ARKANSAS	CLARK COUNTY	23	18	0	5	436500.01
ARKANSAS	CLAY COUNTY	95	85	1	9	1666422.95
ARKANSAS	CLEBURNE COUNTY	13	9	0	4	380919
ARKANSAS	COLUMBIA COUNTY	8	4	0	4	21810.12
ARKANSAS	CONWAY COUNTY	18	14	0	4	165419.12
ARKANSAS	CRAIGHEAD COUNTY	294	228	0	66	3614219.1
ARKANSAS	CRAWFORD COUNTY	33	24	0	9	710811.22
ARKANSAS	CRITTENDEN COUNTY	786	641	0	145	8688926.68
ARKANSAS	CROSS COUNTY	62	49	0	13	1684508.97
ARKANSAS	DESHA COUNTY	173	133	0	40	1625201.54
ARKANSAS	DREW COUNTY	26	22	0	4	231628.95
ARKANSAS	FAULKNER COUNTY	175	139	0	36	2518462.13
ARKANSAS	FRANKLIN COUNTY	41	32	0	9	508125.69
ARKANSAS	FULTON COUNTY	36	30	0	6	713244.03
ARKANSAS	GARLAND COUNTY	203	149	0	54	3470736.42
ARKANSAS	GRANT COUNTY	10	9	0	1	54413.18
ARKANSAS	HOT SPRING COUNTY	14	11	0	3	28743.69
ARKANSAS	HOWARD COUNTY	19	15	0	4	88801.11
ARKANSAS	INDEPENDENCE COUNTY	142	119	1	22	1714657.02
ARKANSAS	IZARD COUNTY	53	46	0	7	1734883.44
ARKANSAS	JOHNSON COUNTY	2	1	0	1	18909.38
ARKANSAS	LAFAYETTE COUNTY	1	1	0	0	1411.81
ARKANSAS	LINCOLN COUNTY	18	13	0	5	123873.52
ARKANSAS	LITTLE RIVER COUNTY	5	3	0	2	127303.92
ARKANSAS	LOGAN COUNTY	7	5	0	2	78178.62
ARKANSAS	LONOKE COUNTY	64	47	0	17	827096.52
ARKANSAS	MILLER COUNTY	92	71	0	21	1110814.23
ARKANSAS	MISSISSIPPI COUNTY	59	44	0	15	444393.3
ARKANSAS	NEVADA COUNTY	1	1	0	0	5209.28
ARKANSAS	NEWTON COUNTY	5	5	0	0	101360.88
ARKANSAS	OUACHITA COUNTY	75	62	0	13	1101103.69
ARKANSAS	PERRY COUNTY	4	4	0	0	13628.39
ARKANSAS	PHILLIPS COUNTY	477	391	0	86	3096487.6
ARKANSAS	PIKE COUNTY	10	9	0	1	230064.26
ARKANSAS	POINSETT COUNTY	39	30	1	8	597900.74
ARKANSAS	POLK COUNTY	12	10	0	2	129811.68
ARKANSAS	POPE COUNTY	50	42	1	7	790517.81
ARKANSAS	PRAIRIE COUNTY	66	58	2	6	2569309.55
ARKANSAS	PULASKI COUNTY	1331	1017	2	312	17333836.91
ARKANSAS	RANDOLPH COUNTY	106	95	0	11	2506045.04
ARKANSAS	SALINE COUNTY	190	165	1	24	3471498.57
ARKANSAS	SCOTT COUNTY	5	5	0	0	231244.44
ARKANSAS	SEBASTIAN COUNTY	243	188	0	55	3659631.77
ARKANSAS	SEVIER COUNTY	7	7	0	0	370354.99
ARKANSAS	SHARP COUNTY	86	72	0	14	1832494.35
ARKANSAS	ST. FRANCIS COUNTY	14	9	0	5	309351
ARKANSAS	STONE COUNTY	3	2	0	1	51683.71
ARKANSAS	UNION COUNTY	127	99	0	28	1308487.43
ARKANSAS	VAN BUREN COUNTY	16	15	0	1	511005.06
ARKANSAS	WHITE COUNTY	105	89	1	15	2196049.1
ARKANSAS	WOODRUFF COUNTY	42	40	0	2	923537.38
ARKANSAS	YELL COUNTY	7	7	0	0	60006.66
CALIFORNIA	SANTA CRUZ COUNTY	1261	852	1	408	11998317.92
CALIFORNIA	NEVADA COUNTY	39	26	0	13	546125.44
CALIFORNIA	ALAMEDA COUNTY	410	195	0	215	2146094.99
CALIFORNIA	ALPINE COUNTY	4	3	0	1	48077.57
CALIFORNIA	AMADOR COUNTY	56	39	0	17	337761.43
CALIFORNIA	BUTTE COUNTY	244	193	0	51	3536347.44
CALIFORNIA	CALAVERAS COUNTY	33	29	0	4	761970.88
CALIFORNIA	COLUSA COUNTY	142	119	0	23	2407733.3
CALIFORNIA	CONTRA COSTA COUNTY	1011	558	1	452	7072543.62
CALIFORNIA	DEL NORTE COUNTY	33	24	0	9	482219.24
CALIFORNIA	EL DORADO COUNTY	147	93	0	54	1900230.52
CALIFORNIA	FRESNO COUNTY	258	147	0	111	1501085.56
CALIFORNIA	GLENN COUNTY	180	138	0	42	1657612.35
CALIFORNIA	HUMBOLDT COUNTY	188	127	0	61	2336499.78
CALIFORNIA	IMPERIAL COUNTY	126	83	0	43	762827.47
CALIFORNIA	INYO COUNTY	4	3	0	1	11669.44
CALIFORNIA	KERN COUNTY	194	119	0	75	928559.38
CALIFORNIA	KINGS COUNTY	6	4	0	2	16699.81
CALIFORNIA	LAKE COUNTY	1252	959	0	293	11448880.32
CALIFORNIA	LASSEN COUNTY	30	19	0	11	163590.42
CALIFORNIA	LOS ANGELES COUNTY	7855	4426	3	3426	54607518.01
CALIFORNIA	MADERA COUNTY	47	26	0	21	267859.55
CALIFORNIA	MARIN COUNTY	3036	2270	1	765	46383889
CALIFORNIA	MENDOCINO COUNTY	167	123	0	44	4257861.56
CALIFORNIA	MERCED COUNTY	253	168	0	85	4237860.27
CALIFORNIA	MODOC COUNTY	2	1	0	1	5653.6
CALIFORNIA	MONO COUNTY	42	35	0	7	358674.51
CALIFORNIA	MONTEREY COUNTY	1203	872	0	331	25634253.15
CALIFORNIA	NAPA COUNTY	1312	1074	0	238	29409951.82
CALIFORNIA	ORANGE COUNTY	3512	1893	1	1618	17407289.62
CALIFORNIA	PLACER COUNTY	580	481	0	99	15250085.7
CALIFORNIA	PLUMAS COUNTY	49	37	0	12	718274.07
CALIFORNIA	RIVERSIDE COUNTY	1504	1012	5	487	9133043.16
CALIFORNIA	SACRAMENTO COUNTY	3419	2186	0	1233	33202042.81
CALIFORNIA	SAN BENITO COUNTY	52	43	0	9	640520.48
CALIFORNIA	SAN BERNARDINO COUNTY	706	465	3	238	6090542.26
CALIFORNIA	SAN DIEGO COUNTY	1713	1121	11	581	14689550.46
CALIFORNIA	SAN FRANCISCO COUNTY	1	0	0	1	0
CALIFORNIA	SAN JOAQUIN COUNTY	303	204	0	99	5622089.06
CALIFORNIA	SAN LUIS OBISPO COUNTY	469	325	0	144	4274591.23
CALIFORNIA	SAN MATEO COUNTY	813	503	0	310	8624485.31
CALIFORNIA	SANTA BARBARA COUNTY	903	535	0	368	7842886.89
CALIFORNIA	SANTA CLARA COUNTY	1353	860	1	492	15773227.65
CALIFORNIA	SHASTA COUNTY	177	127	0	50	1533935.61
CALIFORNIA	SIERRA COUNTY	19	16	0	3	474349.93
CALIFORNIA	SISKIYOU COUNTY	69	40	0	29	523791.59
CALIFORNIA	SOLANO COUNTY	545	424	0	121	9612112.5
CALIFORNIA	SONOMA COUNTY	6499	5520	0	979	99855260.76
CALIFORNIA	STANISLAUS COUNTY	206	171	0	35	4285399.6
CALIFORNIA	SUTTER COUNTY	148	100	0	48	2405648.2
CALIFORNIA	TEHAMA COUNTY	317	234	0	83	1956673.83
CALIFORNIA	TRINITY COUNTY	23	7	0	16	52924.2
CALIFORNIA	TULARE COUNTY	222	121	0	101	1022374.12
CALIFORNIA	TUOLUMNE COUNTY	8	4	0	4	12836.1
CALIFORNIA	VENTURA COUNTY	1096	714	2	380	11714364.96
CALIFORNIA	YOLO COUNTY	330	262	0	68	3322961.69
CALIFORNIA	YUBA COUNTY	292	209	0	83	8234718.93
COLORADO	JEFFERSON COUNTY	296	161	7	128	966085.27
COLORADO	MORGAN COUNTY	28	12	0	16	58807.1
COLORADO	YUMA COUNTY	2	1	0	1	1848.05
COLORADO	LINCOLN COUNTY	5	1	0	4	4361.98
COLORADO	LOGAN COUNTY	54	32	0	22	199629.33
COLORADO	PHILLIPS COUNTY	2	2	0	0	7402.49
COLORADO	LAKE COUNTY	1	1	0	0	2582.02
COLORADO	ADAMS COUNTY	180	71	2	107	416191.71
COLORADO	ALAMOSA COUNTY	18	7	0	11	10440.27
COLORADO	ARAPAHOE COUNTY	59	23	2	34	64811.48
COLORADO	ARCHULETA COUNTY	4	2	0	2	1862.67
COLORADO	BENT COUNTY	2	2	0	0	2689.25
COLORADO	BOULDER COUNTY	190	81	1	108	419537.9
COLORADO	CHAFFEE COUNTY	6	3	0	3	307142.31
COLORADO	CLEAR CREEK COUNTY	22	11	0	11	28310.11
COLORADO	CONEJOS COUNTY	3	0	0	3	0
COLORADO	CROWLEY COUNTY	1	0	0	1	0
COLORADO	DELTA COUNTY	19	14	0	5	92297.5
COLORADO	DENVER COUNTY	142	69	2	71	457565.15
COLORADO	DOLORES COUNTY	1	1	0	0	270
COLORADO	DOUGLAS COUNTY	29	18	1	10	455179.79
COLORADO	EAGLE COUNTY	32	14	0	18	178737.76
COLORADO	EL PASO COUNTY	419	160	54	205	1015527.73
COLORADO	ELBERT COUNTY	1	0	0	1	0
COLORADO	FREMONT COUNTY	58	33	0	25	134187.16
COLORADO	GARFIELD COUNTY	23	13	0	10	77004.64
COLORADO	GILPIN COUNTY	7	3	0	4	9794.46
COLORADO	GRAND COUNTY	2	1	0	1	5959.58
COLORADO	GUNNISON COUNTY	43	30	0	13	152530.67
COLORADO	HINSDALE COUNTY	1	0	0	1	0
COLORADO	HUERFANO COUNTY	5	2	0	3	1884.26
COLORADO	LA PLATA COUNTY	29	20	0	9	463492.13
COLORADO	LARIMER COUNTY	225	136	4	85	2554016.16
COLORADO	LAS ANIMAS COUNTY	3	2	0	1	10992.16
COLORADO	MESA COUNTY	51	24	0	27	269651.58
COLORADO	MINERAL COUNTY	1	1	0	0	267.63
COLORADO	MONTEZUMA COUNTY	5	2	0	3	18588.03
COLORADO	MONTROSE COUNTY	5	3	0	2	24808.59
COLORADO	OTERO COUNTY	121	98	0	23	1677756.02
COLORADO	OURAY COUNTY	6	5	0	1	33045.14
COLORADO	PARK COUNTY	2	1	0	1	342.9
COLORADO	PITKIN COUNTY	26	14	0	12	219978.38
COLORADO	PROWERS COUNTY	21	12	1	8	16234.69
COLORADO	PUEBLO COUNTY	79	38	2	39	190233.67
COLORADO	RIO BLANCO COUNTY	10	7	0	3	31031.19
COLORADO	RIO GRANDE COUNTY	6	2	0	4	2651.77
COLORADO	ROUTT COUNTY	33	20	0	13	414728.54
COLORADO	SAN JUAN COUNTY	1	1	0	0	1144.08
COLORADO	SAN MIGUEL COUNTY	15	7	0	8	115602.91
COLORADO	SUMMIT COUNTY	24	12	0	12	43798.05
COLORADO	TELLER COUNTY	6	2	0	4	2429.09
COLORADO	WELD COUNTY	53	35	0	18	192091.83
CONNECTICUT	FAIRFIELD COUNTY	11275	9120	83	2072	237452094.47
CONNECTICUT	HARTFORD COUNTY	1692	1290	4	398	13464409.92
CONNECTICUT	LITCHFIELD COUNTY	478	334	4	140	5934503.5
CONNECTICUT	MIDDLESEX COUNTY	2193	1654	18	521	35897514.59
CONNECTICUT	NEW HAVEN COUNTY	9228	7311	106	1811	157006286.33
CONNECTICUT	NEW LONDON COUNTY	2090	1594	15	481	28475918.89
CONNECTICUT	TOLLAND COUNTY	158	113	0	45	1604996.05
CONNECTICUT	WINDHAM COUNTY	68	50	0	18	1338498.71
DELAWARE	KENT COUNTY	371	294	1	76	3241586.31
DELAWARE	NEW CASTLE COUNTY	1276	966	17	293	41335541.09
DELAWARE	SUSSEX COUNTY	3997	2983	31	983	31995315.56
DISTRICT COLUMBIA	WASHINGTON, D.C.	191	99	3	89	3058010.36
FLORIDA	CALHOUN COUNTY	138	118	0	20	1955302.19
FLORIDA	ESCAMBIA COUNTY	14042	10734	18	3290	608748743.79
FLORIDA	JACKSON COUNTY	45	34	1	10	444944.95
FLORIDA	JEFFERSON COUNTY	6	3	0	3	35904.27
FLORIDA	LEE COUNTY	9157	5426	6	3725	74858475.02
FLORIDA	MADISON COUNTY	82	72	0	10	1406763.04
FLORIDA	MARION COUNTY	135	76	0	59	1328340.09
FLORIDA	MONROE COUNTY	18241	12415	11	5815	383616869.66
FLORIDA	SUMTER COUNTY	62	42	0	20	607180.51
FLORIDA	WASHINGTON COUNTY	128	111	2	15	1555590.62
FLORIDA	CLAY COUNTY	814	604	4	206	11448860.46
FLORIDA	COLUMBIA COUNTY	299	237	0	62	6316541.24
FLORIDA	FRANKLIN COUNTY	2351	1549	1	801	29862771.08
FLORIDA	LAFAYETTE COUNTY	242	199	0	43	2632769.28
FLORIDA	POLK COUNTY	776	452	2	322	8155098.84
FLORIDA	UNION COUNTY	24	21	0	3	314601.11
FLORIDA	LAKE COUNTY	173	87	2	84	1130656.61
FLORIDA	ORANGE COUNTY	872	361	6	505	3920277.62
FLORIDA	ALACHUA COUNTY	133	85	1	47	1877324.68
FLORIDA	BAKER COUNTY	71	62	0	9	1811344.89
FLORIDA	BAY COUNTY	6034	4404	136	1494	190158197.02
FLORIDA	BRADFORD COUNTY	86	58	1	27	871182.91
FLORIDA	BREVARD COUNTY	4073	2044	4	2025	36220465
FLORIDA	BROWARD COUNTY	25775	11448	57	14270	107042411.74
FLORIDA	CHARLOTTE COUNTY	2750	1324	2	1424	12215471.73
FLORIDA	CITRUS COUNTY	3359	2908	1	450	64613409.17
FLORIDA	COLLIER COUNTY	1924	886	6	1032	12819155.95
FLORIDA	DESOTO COUNTY	212	162	0	50	2261239.03
FLORIDA	DIXIE COUNTY	599	492	0	107	7035010.25
FLORIDA	DUVAL COUNTY	2771	1993	28	750	35895768.69
FLORIDA	FLAGLER COUNTY	402	215	0	187	2153740.48
FLORIDA	GADSDEN COUNTY	27	18	0	9	196101.52
FLORIDA	GILCHRIST COUNTY	220	182	1	37	2156317.99
FLORIDA	GLADES COUNTY	44	25	0	19	180014.09
FLORIDA	GULF COUNTY	749	619	0	130	11964226.47
FLORIDA	HAMILTON COUNTY	108	95	0	13	1455244.7
FLORIDA	HARDEE COUNTY	43	31	0	12	439769.81
FLORIDA	HENDRY COUNTY	97	29	0	68	483589.7
FLORIDA	HERNANDO COUNTY	1599	1334	16	249	30300637.46
FLORIDA	HIGHLANDS COUNTY	82	41	1	40	559117.53
FLORIDA	HILLSBOROUGH COUNTY	6046	4060	11	1975	53226664.83
FLORIDA	HOLMES COUNTY	162	144	0	18	2165549.94
FLORIDA	INDIAN RIVER COUNTY	2958	1544	4	1410	55440203.51
FLORIDA	LEON COUNTY	799	620	4	175	9085800.8
FLORIDA	LEVY COUNTY	654	564	0	90	8288980.13
FLORIDA	LIBERTY COUNTY	6	5	0	1	136563.75
FLORIDA	MANATEE COUNTY	4360	3085	2	1273	27185757.11
FLORIDA	MARTIN COUNTY	2299	1369	1	929	35352785.94
FLORIDA	MIAMI-DADE	10	4	0	6	127939.73
FLORIDA	MIAMI-DADE COUNTY	53036	31826	105	21105	585477695.57
FLORIDA	MONROE	226	167	1	58	5190365.72
FLORIDA	NASSAU COUNTY	474	286	2	186	3432020.7
FLORIDA	OKALOOSA COUNTY	7224	4927	7	2290	258650215.66
FLORIDA	OKEECHOBEE COUNTY	259	152	1	106	1787574.49
FLORIDA	OSCEOLA COUNTY	363	132	0	231	1066433.74
FLORIDA	PALM BEACH COUNTY	9047	4118	16	4913	48346624.49
FLORIDA	PASCO COUNTY	7670	6030	8	1632	114016795.8
FLORIDA	PINELLAS COUNTY	21139	15975	4	5160	179133362.52
FLORIDA	PUTNAM COUNTY	197	135	0	62	1702652.23
FLORIDA	SANTA ROSA COUNTY	6731	5516	16	1199	418702511.87
FLORIDA	SARASOTA COUNTY	4399	2984	3	1412	34000025.8
FLORIDA	SEMINOLE COUNTY	575	316	0	259	5241657.92
FLORIDA	ST. JOHNS COUNTY	1240	653	4	583	7631261.09
FLORIDA	ST. LUCIE COUNTY	3512	2382	6	1124	70564863.29
FLORIDA	SUWANNEE COUNTY	293	232	1	60	5200267.53
FLORIDA	TAYLOR COUNTY	277	214	0	63	4056844.75
FLORIDA	VOLUSIA COUNTY	3874	2445	2	1427	50213097.52
FLORIDA	WAKULLA COUNTY	1298	1070	3	225	24111635.85
FLORIDA	WALTON COUNTY	2710	1627	15	1068	53462276.65
GEORGIA	BALDWIN COUNTY	6	5	0	1	114284.3
GEORGIA	BIBB COUNTY	94	68	3	23	2072310.78
GEORGIA	CHEROKEE COUNTY	53	39	0	14	5506056.07
GEORGIA	CLARKE COUNTY	19	15	1	3	89178.03
GEORGIA	COFFEE COUNTY	24	23	0	1	506902.55
GEORGIA	HENRY COUNTY	25	10	2	13	153817.55
GEORGIA	HOUSTON COUNTY	125	85	1	39	1473321.91
GEORGIA	JEFFERSON COUNTY	1	1	0	0	2299.96
GEORGIA	LEE COUNTY	574	518	0	56	12857498.07
GEORGIA	LOWNDES COUNTY	72	58	2	12	2493885.32
GEORGIA	MACON COUNTY	5	4	0	1	37709.84
GEORGIA	MONROE COUNTY	37	34	0	3	2445925.58
GEORGIA	MONTGOMERY COUNTY	26	22	0	4	298634.12
GEORGIA	PICKENS COUNTY	4	1	2	1	26985.9
GEORGIA	SUMTER COUNTY	10	8	0	2	68652.42
GEORGIA	WALKER COUNTY	135	109	0	26	2698504.57
GEORGIA	WASHINGTON COUNTY	4	4	0	0	9882.7
GEORGIA	COLUMBIA COUNTY	57	39	4	14	285638.44
GEORGIA	FULTON COUNTY	719	522	9	188	9995347.43
GEORGIA	MILLER COUNTY	8	7	0	1	167723.82
GEORGIA	NEWTON COUNTY	21	16	0	5	272674
GEORGIA	POLK COUNTY	131	108	1	22	771602.52
GEORGIA	PULASKI COUNTY	9	8	1	0	91603.39
GEORGIA	UNION COUNTY	28	21	0	7	363493.51
GEORGIA	WHITE COUNTY	24	6	0	18	67995.6
GEORGIA	DOUGLAS COUNTY	174	155	1	18	6902355.17
GEORGIA	BAKER COUNTY	33	29	0	4	500518.11
GEORGIA	LIBERTY COUNTY	43	23	0	20	149188.17
GEORGIA	PUTNAM COUNTY	2	1	0	1	2370.37
GEORGIA	SEMINOLE COUNTY	68	62	0	6	1463164.35
GEORGIA	TAYLOR COUNTY	1	1	0	0	3469.51
GEORGIA	WALTON COUNTY	15	8	0	7	95297.34
GEORGIA	APPLING COUNTY	15	12	0	3	202523.64
GEORGIA	BANKS COUNTY	1	0	0	1	0
GEORGIA	BARROW COUNTY	4	1	0	3	1111.37
GEORGIA	BARTOW COUNTY	24	18	0	6	473068.02
GEORGIA	BEN HILL COUNTY	18	12	2	4	115748.02
GEORGIA	BERRIEN COUNTY	2	2	0	0	55053.57
GEORGIA	BRANTLEY COUNTY	19	17	0	2	383123.16
GEORGIA	BROOKS COUNTY	8	6	0	2	252134.25
GEORGIA	BRYAN COUNTY	81	36	0	45	225175.39
GEORGIA	BULLOCH COUNTY	74	48	10	16	393377.05
GEORGIA	BURKE COUNTY	1	0	0	1	0
GEORGIA	BUTTS COUNTY	13	10	1	2	128154.56
GEORGIA	CAMDEN COUNTY	121	82	0	39	1281367.26
GEORGIA	CANDLER COUNTY	1	1	0	0	3538.02
GEORGIA	CARROLL COUNTY	38	34	0	4	2981091.39
GEORGIA	CATOOSA COUNTY	229	201	2	26	3577931.72
GEORGIA	CHARLTON COUNTY	32	30	0	2	761074.9
GEORGIA	CHATHAM COUNTY	3297	2504	8	785	35447010.16
GEORGIA	CHATTOOGA COUNTY	44	43	0	1	1485535.42
GEORGIA	CLAYTON COUNTY	319	241	5	73	2683241.87
GEORGIA	CLINCH COUNTY	4	1	0	3	1121
GEORGIA	COBB COUNTY	1597	1240	14	343	56494192.02
GEORGIA	COLQUITT COUNTY	46	40	1	5	990526.02
GEORGIA	COOK	1	1	0	0	847.52
GEORGIA	COOK COUNTY	7	4	0	3	144784.24
GEORGIA	COWETA COUNTY	21	16	0	5	304212.98
GEORGIA	CRISP COUNTY	24	15	0	9	58126.44
GEORGIA	DADE COUNTY	7	4	0	3	105855.87
GEORGIA	DAWSON COUNTY	4	1	0	3	4140.86
GEORGIA	DECATUR COUNTY	194	167	0	27	4771792.52
GEORGIA	DEKALB COUNTY	3063	2414	33	616	79076231.64
GEORGIA	DOOLY COUNTY	7	7	0	0	83611.8
GEORGIA	DOUGHERTY COUNTY	1169	1008	2	159	27228873.57
GEORGIA	EARLY COUNTY	23	16	0	7	296040.84
GEORGIA	EFFINGHAM COUNTY	27	21	0	6	161353.35
GEORGIA	EMANUEL COUNTY	2	2	0	0	10202.74
GEORGIA	FANNIN COUNTY	31	19	1	11	251945.85
GEORGIA	FAYETTE COUNTY	93	65	0	28	1082299.91
GEORGIA	FLOYD COUNTY	349	277	0	72	2391937.67
GEORGIA	FORSYTH COUNTY	29	12	4	13	291618.95
GEORGIA	GILMER COUNTY	125	94	14	17	3266096.89
GEORGIA	GLYNN COUNTY	625	387	0	238	4812864.21
GEORGIA	GORDON COUNTY	20	15	0	5	343852.58
GEORGIA	GRADY COUNTY	8	6	0	2	94685.72
